title_name,title_number,offering_start_date,genre,medal,pred_type,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-01,2026-09-01,2026-10-01,2026-11-01,2026-12-01,2027-01-01,2027-02-01,2027-03-01,2027-04-01,2027-05-01,2027-06-01,2027-07-01,2027-08-01,2027-09-01,2027-10-01,2027-11-01,2027-12-01,2028-01-01,2028-02-01,2028-03-01,2028-04-01,2028-05-01,2028-06-01,2028-07-01,2028-08-01,2028-09-01,2028-10-01,2028-11-01,2028-12-01,2029-01-01,2029-02-01,2029-03-01,2029-04-01,2029-05-01,2029-06-01,2029-07-01,2029-08-01,2029-09-01,2029-10-01,2029-11-01,2029-12-01,2030-01-01,2030-02-01,2030-03-01,2030-04-01
A24 Pay-1 Film,1395.0,2025-04-01,other,Gold,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00447185455517839,-0.0006911870205740631,-0.00041313554469362464,-0.00040985233315894097,-0.00036915727303928585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1396.0,2025-05-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021334508947197274,-0.00030850663418600016,-0.00020168746104993094,-0.0001937978788310256,-0.00016836211012617288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1397.0,2025-06-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021150476398396558,-0.0003269098890660719,-0.00020168746104993094,-0.00018756012005778652,-0.00017459986889941197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1398.0,2025-07-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021334508947197274,-0.0003155077568366501,-0.00019468633839928097,-0.0001937978788310256,-0.00016836211012617288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1399.0,2025-08-01,other,Gold,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004510764638154959,-0.0006522769375974941,-0.000426428688616618,-0.00039655918923594755,-0.00036915727303928585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1400.0,2025-09-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021150476398396558,-0.0003269098890660719,-0.00019540021884796393,-0.00019384736225975356,-0.00017459986889941197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1401.0,2025-10-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021334508947197274,-0.00030850663418600016,-0.00020168746104993094,-0.0001937978788310256,-0.00016836211012617288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1402.0,2025-11-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021150476398396558,-0.0003269098890660719,-0.00020168746104993094,-0.00017508364248247096,-0.00018707634647472757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1403.0,2025-12-01,other,Gold,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004510764638154959,-0.0006670794421023313,-0.0003850294812197958,-0.0004099667150413446,-0.000382346450125874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1404.0,2026-01-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021334508947197274,-0.0002942831759245376,-0.00020333150891575164,-0.0001876630528781129,-0.00018707634647472757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1405.0,2026-02-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0020747300666021803,-0.00035300400404208483,-0.00019703395525201944,-0.00019396060654184512,-0.00018707634647472757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1406.0,2026-03-01,other,Platinum,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006505228733419847,-0.0009406854529084731,-0.0006149769230872629,-0.0005719004291419966,-0.0005323825764290698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1407.0,2026-04-01,other,Gold,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00447185455517839,-0.0006911870205740631,-0.00041313554469362464,-0.00040985233315894097,-0.00036915727303928585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1408.0,2026-05-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021334508947197274,-0.00030850663418600016,-0.00020168746104993094,-0.0001937978788310256,-0.00016836211012617288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1409.0,2026-06-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021150476398396558,-0.0003269098890660719,-0.00020168746104993094,-0.00018756012005778652,-0.00017459986889941197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1410.0,2026-07-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021334508947197274,-0.0003155077568366501,-0.00019468633839928097,-0.0001937978788310256,-0.00016836211012617288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1411.0,2026-08-01,other,Gold,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004510764638154959,-0.0006522769375974941,-0.000426428688616618,-0.00039655918923594755,-0.00036915727303928585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1412.0,2026-09-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021150476398396558,-0.0003269098890660719,-0.00019540021884796393,-0.00019384736225975356,-0.00017459986889941197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1413.0,2026-10-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021334508947197274,-0.00030850663418600016,-0.00020168746104993094,-0.0001937978788310256,-0.00016836211012617288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1414.0,2026-11-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021150476398396558,-0.0003269098890660719,-0.00020168746104993094,-0.00017508364248247096,-0.00018707634647472757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1415.0,2026-12-01,other,Gold,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004510764638154959,-0.0006670794421023313,-0.0003850294812197958,-0.0004099667150413446,-0.000382346450125874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1416.0,2027-01-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021334508947197274,-0.0002942831759245376,-0.00020333150891575164,-0.0001876630528781129,-0.00018707634647472757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24 Pay-1 Film,1417.0,2027-02-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0020747300666021803,-0.00035300400404208483,-0.00019703395525201944,-0.00019396060654184512,-0.00018707634647472757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVENTURE TIME: FIONNA AND CAKE S1,338.0,2023-08-01,comedy,Bronze,future,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVENTURE TIME: FIONNA AND CAKE S2 / TBD,364.0,2025-08-01,comedy,Bronze,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVENTURE TIME: FIONNA AND CAKE S3 / TBD,378.0,2026-08-01,comedy,Bronze,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVENTURE TIME: FIONNA AND CAKE S4 / TBD,443.0,2027-08-01,comedy,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00314526672219262,-0.001283568435781155,-0.0006834023899249628,-0.0004387452486623162,-0.0003378204235908496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFTER THE BITE,76.0,2023-07-01,other,Silver,future,,,,,,,-0.0016402511216853182,-0.00024257036022369755,-0.00014967979142457797,-0.0001489967211898659,-0.00012944105752199218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERT BROOKS: DEFENDING HIS LIFE,244.0,2023-11-01,other,Platinum,future,,,,,,,,,,,-0.004958242533284901,-0.00076636501513589,-0.0004728098454954053,-0.0004250678274014382,-0.00042393293611692087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEX COOPER SERIES,290.0,2024-05-01,other,Bronze,future,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEX EDELMAN,276.0,2024-02-01,other,Silver,future,,,,,,,,,,,,,,-0.0010740537859300814,-0.00017394702670317944,-0.0001005524565583082,-9.938423868867059e-05,-9.268852681672846e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THAT BREATHES,146.0,2023-02-01,other,Bronze,future,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE BEAUTY AND THE BLOODSHED,199.0,2023-03-01,other,Bronze,future,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM I OK?,302.0,2024-06-01,comedy,Bronze,future,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN PAIN (CNN),318.0,2023-06-01,other,Bronze,future,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND JUST LIKE THAT S2,336.0,2023-06-01,comedy,Platinum,future,,,,,,-0.00530951635214801,-0.00231907941251724,-0.0011771493838413378,-0.0007557314793453794,-0.0005818901270196783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND JUST LIKE THAT... S3,369.0,2025-02-01,comedy,Platinum,future,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00831893529294755,-0.003996404612389358,-0.001947055934211358,-0.001310492910605073,-0.0010253477578184432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGEL CITY,97.0,2023-05-01,other,Silver,future,,,,,-0.0032805022433706364,-0.0004743754393629259,-0.00031012486393362516,-0.0002979934423797318,-0.00025888211504398437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRIL AND AMANDA,235.0,2025-06-01,other,Bronze,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUAGIRL S1 / TBD,422.0,2025-03-01,other,Bronze,future,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
